subject
activity
TimeBodyAccelerometer.mean...X
TimeBodyAccelerometer.mean...Y
TimeBodyAccelerometer.mean...Z
TimeGravityAccelerometer.mean...X
TimeGravityAccelerometer.mean...Y
TimeGravityAccelerometer.mean...Z
TimeBodyAccelerometerJerk.mean...X
TimeBodyAccelerometerJerk.mean...Y
TimeBodyAccelerometerJerk.mean...Z
TimeBodyGyroscope.mean...X
TimeBodyGyroscope.mean...Y
TimeBodyGyroscope.mean...Z
TimeBodyGyroscopeJerk.mean...X
TimeBodyGyroscopeJerk.mean...Y
TimeBodyGyroscopeJerk.mean...Z
TimeBodyAccelerometerMagnitude.mean..
TimeGravityAccelerometerMagnitude.mean..
TimeBodyAccelerometerJerkMagnitude.mean..
TimeBodyGyroscopeMagnitude.mean..
TimeBodyGyroscopeJerkMagnitude.mean..
FrequencyBodyAccelerometer.mean...X
FrequencyBodyAccelerometer.mean...Y
FrequencyBodyAccelerometer.mean...Z
FrequencyBodyAccelerometer.meanFreq...X
FrequencyBodyAccelerometer.meanFreq...Y
FrequencyBodyAccelerometer.meanFreq...Z
FrequencyBodyAccelerometerJerk.mean...X
FrequencyBodyAccelerometerJerk.mean...Y
FrequencyBodyAccelerometerJerk.mean...Z
FrequencyBodyAccelerometerJerk.meanFreq...X
FrequencyBodyAccelerometerJerk.meanFreq...Y
FrequencyBodyAccelerometerJerk.meanFreq...Z
FrequencyBodyGyroscope.mean...X
FrequencyBodyGyroscope.mean...Y
FrequencyBodyGyroscope.mean...Z
FrequencyBodyGyroscope.meanFreq...X
FrequencyBodyGyroscope.meanFreq...Y
FrequencyBodyGyroscope.meanFreq...Z
FrequencyBodyAccelerometerMagnitude.mean..
FrequencyBodyAccelerometerMagnitude.meanFreq..
FrequencyBodyAccelerometerJerkMagnitude.mean..
FrequencyBodyAccelerometerJerkMagnitude.meanFreq..
FrequencyBodyGyroscopeMagnitude.mean..
FrequencyBodyGyroscopeMagnitude.meanFreq..
FrequencyBodyGyroscopeJerkMagnitude.mean..
FrequencyBodyGyroscopeJerkMagnitude.meanFreq..
Angle.TimeBodyAccelerometerMean.Gravity.
Angle.TimeBodyAccelerometerJerkMean..GravityMean.
1	1	LAYING	0.2215982	-0.040513953	-0.11320355	-0.2488818	0.705549773	0.445817720	0.08108653	3.838204e-03	1.083424e-02	-0.0165530940	-0.064486124	0.1486894363	-0.10727095	-0.04151729	-0.074050121	-0.8419291525	-0.8419291525	-0.954396265	-0.874759548	-0.96346103	-0.93909905	-0.867065205	-0.88266688	-1.587927e-01	0.0975348416	0.0894376552	-0.957073884	-0.922462610	-0.94806090	0.13241909	2.451362e-02	0.024387945	-0.85024917	-0.95219149	-0.90930272	-0.003546796	-0.091529131	0.0104581257	-0.861767648	0.0864085629	-0.933300361	0.2663911542	-0.8621901854	-0.1397750127	-0.94236695	0.1764859071	2.136597e-02	0.0030604074
2	1	SITTING	0.2612376	-0.001308288	-0.10454418	0.8315099	0.204411593	0.332043703	0.07748252	-6.191028e-04	-3.367792e-03	-0.0453500565	-0.091924155	0.0629313812	-0.09367938	-0.04021181	-0.046702627	-0.9485367862	-0.9485367862	-0.987364196	-0.930892490	-0.99197634	-0.97964124	-0.944084550	-0.95918489	-4.951360e-02	0.0759460769	0.2388298701	-0.986597023	-0.981579467	-0.98605309	0.25661082	4.754378e-02	0.092392003	-0.97616146	-0.97583859	-0.95131554	0.189153021	0.063127067	-0.0297839207	-0.947782923	0.2366550117	-0.985262127	0.3518522020	-0.9584355894	-0.0002621867	-0.98979755	0.1847759281	2.744155e-02	0.0297097878
3	1	STANDING	0.2789176	-0.016137590	-0.11060182	0.9429520	-0.272983832	0.013490582	0.07537665	7.975731e-03	-3.685250e-03	-0.0239877348	-0.059397221	0.0748007510	-0.09960921	-0.04406279	-0.048950547	-0.9842782074	-0.9842782074	-0.992367791	-0.976493793	-0.99496679	-0.99524993	-0.977070848	-0.98529710	8.651536e-02	0.1174789487	0.2448585858	-0.994630797	-0.985418705	-0.99075217	0.31418294	3.916190e-02	0.138581479	-0.98638679	-0.98898446	-0.98077312	-0.120293021	-0.044719198	0.1006076351	-0.985356361	0.2845552908	-0.992542478	0.4222201023	-0.9846176234	-0.0286057725	-0.99481538	0.3344987343	-2.223407e-04	0.0219637827
4	1	WALKING	0.2773308	-0.017383819	-0.11114810	0.9352232	-0.282165021	-0.068102864	0.07404163	2.827211e-02	-4.168406e-03	-0.0418309635	-0.069530046	0.0849448173	-0.08999754	-0.03984287	-0.046130930	-0.1369711766	-0.1369711766	-0.141428809	-0.160979553	-0.29870368	-0.20279431	0.089712726	-0.33156012	-2.075484e-01	0.1130936461	0.0497265196	-0.170546965	-0.035225524	-0.46899922	-0.20926197	-3.862371e-01	-0.185530281	-0.33903220	-0.10305942	-0.25594094	0.014784499	-0.065774619	0.0007733216	-0.128623451	0.1906437244	-0.057119400	0.0938221807	-0.1992525690	0.2688443675	-0.31930859	0.1906634488	6.045375e-02	-0.0079303785
5	1	WALKING_DOWNSTAIRS	0.2891883	-0.009918505	-0.10756619	0.9318744	-0.266610339	-0.062119959	0.05415532	2.965045e-02	-1.097197e-02	-0.0350781903	-0.090937129	0.0900850142	-0.07395920	-0.04399028	-0.027046106	0.0271882914	0.0271882914	-0.089447481	-0.075741254	-0.29546384	0.03822918	0.001549908	-0.22557447	-3.073952e-01	0.0632200839	0.2943227008	-0.027663868	-0.128667158	-0.28833474	-0.25316434	-3.375897e-01	0.009372239	-0.35244963	-0.05570225	-0.03186943	-0.100453729	0.082551149	-0.0756762068	0.096584534	0.1191871428	0.026218495	0.0764915474	-0.1857202857	0.3496138955	-0.28196336	0.1900007062	-2.695125e-03	0.0899316866
6	1	WALKING_UPSTAIRS	0.2554617	-0.023953149	-0.09730200	0.8933511	-0.362153364	-0.075402940	0.10137273	1.948631e-02	-4.556254e-02	0.0505493798	-0.166170015	0.0583595464	-0.12223277	-0.04214859	-0.040712553	-0.1299276307	-0.1299276307	-0.466503446	-0.126735590	-0.59488287	-0.40432178	-0.190976721	-0.43334970	-4.187350e-01	-0.1606972135	-0.5201147936	-0.479875246	-0.413444588	-0.68547435	-0.37702313	-5.094955e-01	-0.551104284	-0.49261167	-0.31947461	-0.45359721	-0.187450248	-0.473574787	-0.1333739043	-0.352395945	-0.0977433496	-0.442652162	0.0853524092	-0.3259614574	-0.2193033761	-0.63466508	0.1142773425	9.608608e-02	-0.0610838413
7	2	LAYING	0.2813734	-0.018158740	-0.10724561	-0.5097542	0.752536639	0.646834880	0.08259725	1.225479e-02	-1.802649e-03	-0.0184766067	-0.111800825	0.1448828461	-0.10197413	-0.03585902	-0.070178302	-0.9774354852	-0.9774354852	-0.987741696	-0.950011570	-0.99176707	-0.97672506	-0.979800878	-0.98438098	-1.464828e-01	0.2572894655	0.4025325534	-0.985813631	-0.982768250	-0.98619713	0.15980833	1.212064e-01	0.190558218	-0.98643114	-0.98332164	-0.96267189	0.102611319	0.042280668	0.0552985986	-0.975110196	0.2662982125	-0.985374115	0.3417585745	-0.9721129727	0.0185644722	-0.99024870	0.2648015054	5.791810e-03	-0.0063555765
8	2	SITTING	0.2770874	-0.015687994	-0.10921827	0.9404773	-0.105630024	0.198726769	0.07225644	1.169545e-02	7.605469e-03	-0.0454706620	-0.059928680	0.0412277462	-0.09363284	-0.04156020	-0.043585097	-0.9678936239	-0.9678936239	-0.986774713	-0.946035087	-0.99108149	-0.98580384	-0.957343498	-0.97016217	8.519282e-02	0.1501939562	0.0960646760	-0.987848794	-0.977139703	-0.98512905	0.30554682	2.624486e-02	0.092903063	-0.98262139	-0.98210092	-0.95981482	0.130523121	-0.192142738	0.0409472349	-0.961273748	0.1309342029	-0.983874699	0.2800624240	-0.9718405961	-0.1063589092	-0.98986195	0.1947221493	3.952843e-02	-0.0033928669
9	2	STANDING	0.2779115	-0.018420827	-0.10590854	0.8969286	-0.370062697	0.129747161	0.07475886	1.032918e-02	-8.371588e-03	-0.0238623876	-0.082039658	0.0878351695	-0.10556216	-0.04224195	-0.054653948	-0.9658751813	-0.9658751813	-0.980489077	-0.963466342	-0.98395190	-0.98394674	-0.959871697	-0.96247120	1.085192e-01	0.0623378067	0.1044624996	-0.980973242	-0.970851338	-0.97977515	0.33144928	-5.693683e-02	0.039649818	-0.96703711	-0.97257615	-0.96062770	-0.107416045	-0.171160370	0.0002268106	-0.964052166	0.1196499639	-0.977065296	0.3048718652	-0.9617759048	-0.0661266046	-0.97784983	0.1606628239	-1.368192e-02	0.0411822245
10	2	WALKING	0.2764266	-0.018594920	-0.10550036	0.9130173	-0.346607090	0.084727087	0.06180807	1.824927e-02	7.895337e-03	-0.0530258157	-0.048238232	0.0828336633	-0.08188334	-0.05382994	-0.051493916	-0.2904075937	-0.2904075937	-0.281424154	-0.446549093	-0.54791195	-0.34604816	-0.021904810	-0.45380637	-1.457955e-01	0.1985864665	0.0688995208	-0.304615323	-0.078764084	-0.55495671	-0.07271016	-2.635740e-01	-0.254846439	-0.42971354	-0.55477211	-0.39665991	0.007279680	-0.042700932	0.1397521153	-0.324289428	0.3932062083	-0.169064353	0.2075009267	-0.5307048147	0.3052838253	-0.58324929	0.1263446144	-3.010174e-02	0.0534005801
